StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID3,Q1,Q1_5_TEXT,Q2,Q3,Q4,Q4_10_TEXT,Q5,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q9_4_TEXT,Q10,Q11,Q12,Q12_4_TEXT,Q 13-20_1,Q 13-20_2,Q 13-20_3,Q 13-20_4,Q 13-20_5,Q 13-20_6,Q 13-20_7,Q 13-20_8,Q21,Q22,Q 23-38_1,Q 23-38_2,Q 23-38_3,Q 23-38_4,Q 23-38_5,Q 23-38_6,Q 23-38_7,Q 23-38_8,Q 23-38_9,Q 23-38_10,Q 23-38_11,Q 23-38_12,Q 23-38_13,Q 23-38_14,Q 23-38_15,Q 23-38_16,Q 23-38_16_TEXT,Q39,Q39_7_TEXT,Q40,Q 41-56_1,Q 41-56_2,Q 41-56_3,Q 41-56_4,Q 41-56_5,Q 41-56_6,Q 41-56_7,Q 41-56_8,Q 41-56_9,Q 41-56_10,Q 41-56_11,Q 41-56_12,Q 41-56_13,Q 41-56_14,Q 41-56_15,Q 41-56_16,Q57,Q58,Q59,Q60,Q61
9/10/24 16:04,9/10/24 16:09,IP Address,,100,302,TRUE,9/10/24 16:09,R_7eabxremAwFPrOh,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Post high school/University Level,Spanish,,53,30,I have heard of it but I do not use it.,,,,,,,,,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,No,,,,,,,,,,,,,,,,,,,"Internet (e.g., Google, YouTube)",,No,,,,,,,,,,,,,,,,,,,,,"Yes, any at all would be great. "
9/10/24 18:07,9/10/24 18:27,IP Address,,100,1200,TRUE,9/10/24 18:27,R_3J3jqOHggHcFf2B,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Secondary school/High School,Spanish,,31,3,I have used GenAI.,ChatGPT,,ChatGPT,,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)","Computer,Cellular telephone",,3 - Moderately,3 - Moderately,2 - Slightly,2 - Slightly,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,Yes,Daily,1=To no extent,1=To no extent,1=To no extent,2= To little extent,2= To little extent,2= To little extent,1=To no extent,2= To little extent,2= To little extent,2= To little extent,2= To little extent,2= To little extent,1=To no extent,1=To no extent,2= To little extent,1=To no extent,,Colleagues,,No,,,,,,,,,,,,,,,,,,,,,
9/10/24 18:20,9/10/24 18:31,IP Address,,100,659,TRUE,9/10/24 18:31,R_71nF9jImk7nHnrG,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,"Middle School,Secondary school/High School",Mandarin,,55,10,I have heard of it but I do not use it.,,,,,,,,,2 - Slightly,3 - Moderately,3 - Moderately,4-Yes,2 - Slightly,2 - Slightly,2 - Slightly,4-Yes,No,,,,,,,,,,,,,,,,,,,"Workshops,Internet (e.g., Google, YouTube),I have not yet learned about how to use generative AI  in my classroom.",,No,,,,,,,,,,,,,,,,,Paper work such as lesson plan,"Generate authentic language materials such as dialogues, or a movie clip.",Privacy issues.,"Cost. And rules, what we are allowed or not allowed to use. ",Yes I’d love to have. 
9/11/24 6:15,9/11/24 6:30,IP Address,,100,893,TRUE,9/11/24 6:30,R_5xxTiSVooN39MuW,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Secondary school/High School,Spanish,,52,2,I have used GenAI.,"ChatGPT,Other","Diffit, Magic School",Other,"Diffit, Magic School","No, I use the free version.","Somewhat accessible (e.g., I can get access to generative AI, but it isn’t always easy)",Computer,,3 - Moderately,4-Yes,4-Yes,4-Yes,3 - Moderately,3 - Moderately,4-Yes,5- Very much so,Yes,Monthly,3=To some extent,3=To some extent,3=To some extent,3=To some extent,2= To little extent,2= To little extent,1=To no extent,2= To little extent,3=To some extent,3=To some extent,3=To some extent,1=To no extent,2= To little extent,2= To little extent,2= To little extent,1=To no extent,,"Workshops,Teacher preparation program,Colleagues",,Yes,3=To some extent,3=To some extent,3=To some extent,3=To some extent,2= To little extent,2= To little extent,2= To little extent,1=To no extent,2= To little extent,3=To some extent,2= To little extent,3=To some extent,2= To little extent,3=To some extent,2= To little extent,5=To a very large extent,I still hesitate for students to use GenAI directly in my class.,Saves me planning time,None,I would like to be more confident using AI,"Yes! GenAI has been around for while now, but I would like to learn more about using it to teach a foreign language."
9/11/24 18:01,9/11/24 18:07,IP Address,,100,390,TRUE,9/11/24 18:07,R_5iqYZ3TzeJexIpF,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Middle School,Mandarin,,42,3,I have never heard of it.,,,,,,,,,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,Yes,Daily,4=To a large extent,3=To some extent,1=To no extent,2= To little extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,2= To little extent,3=To some extent,3=To some extent,,"Workshops,Students/Children,Internet (e.g., Google, YouTube)",,Yes,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,4=To a large extent,3=To some extent,3=To some extent,3=To some extent,4=To a large extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,,Help me create activities ,Sometimes it is not what I want ,"I have to give directions in very detailed directions, or it will go to the other side.",Yes
9/11/24 19:07,9/11/24 19:21,IP Address,,100,831,TRUE,9/11/24 19:21,R_7ciai35xE1lxvaj,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Secondary school/High School,Spanish,,50,5,I have used GenAI.,ChatGPT,,ChatGPT,,"No, I use the free version.","Somewhat accessible (e.g., I can get access to generative AI, but it isn’t always easy)",Computer,,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,4-Yes,3 - Moderately,3 - Moderately,3 - Moderately,No,,,,,,,,,,,,,,,,,,,"Workshops,Teacher preparation program,Colleagues",,Yes,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,2= To little extent,2= To little extent,2= To little extent,2= To little extent,3=To some extent,2= To little extent,2= To little extent,2= To little extent,2= To little extent,3=To some extent,2= To little extent,"I am a little concerned about GenAI use ethics, and there are also some restrictions on some resources and webs sites acces, thus I would like to understand the legal and ethics aspects related to the topic.","From my point of view, ""Differentiation"" is one of the best benefits.","Ethics and legal compliance.
","There are some restrictions in places, from the school policies.","That would be great. Yes, definitely I would like to go deeper with this topic."
9/11/24 10:55,9/12/24 5:02,IP Address,,100,65266,TRUE,9/12/24 5:02,R_11i2M02GTG2x8lv,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Primary/Elementary School,Spanish,,55,12,I have used GenAI.,ChatGPT,,ChatGPT,,"Yes, I pay for it.","Somewhat accessible (e.g., I can get access to generative AI, but it isn’t always easy)",Computer,,4-Yes,4-Yes,3 - Moderately,4-Yes,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,Yes,Monthly,3=To some extent,1=To no extent,3=To some extent,2= To little extent,2= To little extent,3=To some extent,1=To no extent,1=To no extent,5=To a very large extent,5=To a very large extent,5=To a very large extent,3=To some extent,2= To little extent,5=To a very large extent,4=To a large extent,1=To no extent,,"Teacher preparation program,Students/Children,Internet (e.g., Google, YouTube)",,Yes,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,none,"It is faster to work with, it is engaging for students.","The easy part, because students would like everything done through GEnAI.  They do not want to write or put more effort in some tasks.",Not everyone has the same access.,Yes
9/13/24 4:18,9/13/24 4:18,IP Address,,100,24,TRUE,9/13/24 4:18,R_4oBDIfeRdAbf0lK,,,,,,,anonymous,EN,"Yes, I Agree",Macau,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/24 4:19,9/13/24 4:26,IP Address,,100,447,TRUE,9/13/24 4:26,R_4Cda3jnFmlmPlCZ,,,,,,,anonymous,EN,"Yes, I Agree",Macau,,Yes,Middle School,English,,23,0,I have used GenAI.,"ChatGPT,Other",Poe ,Other,Poe,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)",Computer,,3 - Moderately,5- Very much so,4-Yes,2 - Slightly,3 - Moderately,3 - Moderately,3 - Moderately,4-Yes,Yes,Daily,3=To some extent,1=To no extent,2= To little extent,4=To a large extent,1=To no extent,2= To little extent,4=To a large extent,1=To no extent,1=To no extent,4=To a large extent,4=To a large extent,1=To no extent,1=To no extent,1=To no extent,3=To some extent,1=To no extent,N/A,"Colleagues,Experimentation",,No,,,,,,,,,,,,,,,,,Interactive activities ,More personalized ,It develops dependency,There may be errors and fake responses.,Yes. I would like to see a class demonstration/ join a relevant workshop 
9/13/24 4:34,9/13/24 4:37,IP Address,,100,213,TRUE,9/13/24 4:37,R_41dvfQ5xLPQ62yZ,,,,,,,anonymous,EN,"Yes, I Agree",Macau,,Yes,Secondary school/High School,English,,34,8,I have used GenAI.,"ChatGPT,Other",,ChatGPT,,"No, I use the free version.","Somewhat accessible (e.g., I can get access to generative AI, but it isn’t always easy)",Computer,,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,Yes,Weekly,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,,"Teacher preparation program,Students/Children",,Yes,3=To some extent,3=To some extent,5=To a very large extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,2= To little extent,1=To no extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,,,,,
9/13/24 5:32,9/13/24 5:44,IP Address,,100,719,TRUE,9/13/24 5:44,R_4O1xxhSv683K4PL,,,,,,,anonymous,EN,"Yes, I Agree",Macau,,Yes,Secondary school/High School,English,,37,15,I have used GenAI.,ChatGPT,,ChatGPT,,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)","Computer,iPad or tablet",,3 - Moderately,3 - Moderately,4-Yes,3 - Moderately,4-Yes,3 - Moderately,3 - Moderately,4-Yes,Yes,Weekly,3=To some extent,4=To a large extent,4=To a large extent,5=To a very large extent,2= To little extent,4=To a large extent,4=To a large extent,4=To a large extent,4=To a large extent,2= To little extent,3=To some extent,4=To a large extent,4=To a large extent,4=To a large extent,3=To some extent,1=To no extent,,"Colleagues,Experimentation",,No,,,,,,,,,,,,,,,,,Check students’ writing ,It reduces errors and boost work efficiency ,Student’s plagiarism ,No,"Yes, operation on more genAI tools and introduction of more apps "
9/13/24 5:43,9/13/24 5:49,IP Address,,100,329,TRUE,9/13/24 5:49,R_4t3uQ4lYGALnhHf,,,,,,,anonymous,EN,"Yes, I Agree",Macau,,Yes,Secondary school/High School,English,,24,2,I have used GenAI.,"ChatGPT,Gemini,Other",POE,ChatGPT,,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)",Computer,,4-Yes,4-Yes,3 - Moderately,4-Yes,4-Yes,5- Very much so,5- Very much so,4-Yes,Yes,Daily,3=To some extent,3=To some extent,3=To some extent,4=To a large extent,2= To little extent,3=To some extent,3=To some extent,1=To no extent,4=To a large extent,1=To no extent,4=To a large extent,2= To little extent,4=To a large extent,2= To little extent,4=To a large extent,1=To no extent,,"Internet (e.g., Google, YouTube)",,No,,,,,,,,,,,,,,,,,Generating ideas for examination ,For now I received little to no benefits for instruction.,No worries. Its us English teachers to adapt to the trend.,Not really easy to access in some countries. Makes it less convenient.,Yeah. Writing prompt would be the most useful
9/13/24 19:51,9/13/24 19:59,IP Address,,100,491,TRUE,9/13/24 19:59,R_4meN0lSDiKm8iea,,,,,,,anonymous,EN,"Yes, I Agree",Macau,,Yes,Secondary school/High School,English,,32,6,I have used GenAI.,"ChatGPT,Other",AskAI,Other,AskAI,"Yes, I pay for it.","Somewhat accessible (e.g., I can get access to generative AI, but it isn’t always easy)","Computer,iPad or tablet,Cellular telephone",,3 - Moderately,4-Yes,4-Yes,2 - Slightly,4-Yes,2 - Slightly,2 - Slightly,3 - Moderately,Yes,Weekly,3=To some extent,2= To little extent,2= To little extent,4=To a large extent,3=To some extent,2= To little extent,4=To a large extent,2= To little extent,2= To little extent,2= To little extent,4=To a large extent,2= To little extent,4=To a large extent,4=To a large extent,3=To some extent,4=To a large extent,modify task instructions to make it more organised and clearer,I have not yet learned about how to use generative AI  in my classroom.,,No,,,,,,,,,,,,,,,,,"developing teaching plans, designing level-appropriate assessment for students, grading assessment, etc. ",time saving for teachers,"In terms of teaching, I think it should be fine, as teachers are more aware of what to use and not to use in their teaching (They are experienced enough to check the reliability of the source). However, in terms of learning, students might need more consistent training in using AI. Otherwise, they will just copy and paste everything from AI and turn to a robot without critical thinking. ",,
9/15/24 11:20,9/15/24 11:23,IP Address,,100,182,TRUE,9/15/24 11:23,R_5QmgJCDzUNPCENU,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Middle School,French,,63,5,I have never heard of it.,,,,,,,,,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,1 - Not at all,No,,,,,,,,,,,,,,,,,,,I have not yet learned about how to use generative AI  in my classroom.,,No,,,,,,,,,,,,,,,,,I have never used it,I have never used GenAI.,I have never used GenAI.,I have never used GenAI.,Yes. I would like to receive everything because I have never heard about GenAI
9/16/24 7:49,9/16/24 7:58,IP Address,,100,563,TRUE,9/16/24 7:58,R_43s42sunylBkDCd,,,,,,,anonymous,EN,"Yes, I Agree",Macau,,Yes,Primary/Elementary School,English,,37,7,I have used GenAI.,"ChatGPT,Claude,Gemini,Other","Poe, MagicSchoolAI",ChatGPT,,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)",Computer,,5- Very much so,5- Very much so,5- Very much so,5- Very much so,5- Very much so,5- Very much so,5- Very much so,5- Very much so,Yes,Weekly,4=To a large extent,4=To a large extent,4=To a large extent,5=To a very large extent,3=To some extent,5=To a very large extent,1=To no extent,1=To no extent,2= To little extent,2= To little extent,3=To some extent,4=To a large extent,5=To a very large extent,2= To little extent,1=To no extent,1=To no extent,,"Internet (e.g., Google, YouTube),Experimentation",,Yes,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,3=To some extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,Writing tasks,Ease of access to different and massive information,Plagiarism and cheating,"Limited use of chrome books/devices at school, short lesson time","Yes, how to create more effective prompts"
