StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID3,Q1,Q1_9_TEXT,Q2,Q3,Q4,Q4_19_TEXT,Q5,Q6,Q7,Q8,Q8_7_TEXT,Q9,Q9_4_TEXT,Q10,Q11,Q12,Q12_7_TEXT,Q 13-20_1,Q 13-20_2,Q 13-20_3,Q 13-20_4,Q 13-20_5,Q 13-20_6,Q 13-20_7,Q 13-20_8,Q21,Q22,Q 23-38_1,Q 23-38_2,Q 23-38_3,Q 23-38_4,Q 23-38_5,Q 23-38_6,Q 23-38_7,Q 23-38_8,Q 23-38_9,Q 23-38_10,Q 23-38_11,Q 23-38_12,Q 23-38_13,Q 23-38_14,Q 23-38_15,Q 23-38_16,Q 23-38_16_TEXT,Q39,Q40,Q 41-56_1,Q 41-56_2,Q 41-56_3,Q 41-56_4,Q 41-56_5,Q 41-56_6,Q 41-56_7,Q 41-56_8,Q 41-56_9,Q 41-56_10,Q 41-56_11,Q 41-56_12,Q 41-56_13,Q 41-56_14,Q 41-56_15,Q 41-56_16,Q57,Q58,Q59,Q60,Q61
9/16/24 15:17,9/16/24 15:32,IP Address,,100,909,TRUE,9/16/24 15:32,R_1EoODR1XFySgkU8,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,Inglés,,55,25,He usado GenAI.,"ChatGPT,Claude,Gemini",,ChatGPT,,"No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,Teléfono celular",,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,Sí,Semanalmente,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,,Programa de preparación de profesores,Sí,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,Información personal. Me gustaría utilizarla más para que los estudiantes puedan mejorar el vocabulario. ,"Generación de ideas.
Contextualización del conocimiento 
Gasificación del aprendizaje ",Orientar adecuadamente a los estudiantes para que la utilicen como apoyo y no para copiar y traducir. ,Desarrollo de actividades que sigan motivando a los estudiantes al pensamiento crítico. ,"Sí,  generar actividades creativas para mis estudiantes. "
9/16/24 16:04,9/16/24 16:30,IP Address,,100,1524,TRUE,9/16/24 16:30,R_7czuE95oqIZd2Pz,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,"Inglés,Francés",,33,8 años,Nunca he oído hablar de ello.,,,,,,,,,2 - Ligeramente,5 - Mucho,3 - Moderadamente,5 - Mucho,3 - Moderadamente,3 - Moderadamente,3 - Moderadamente,5 - Mucho,No,,,,,,,,,,,,,,,,,,,"Colegas,Aún no he aprendido cómo usar la inteligencia artificial generativa en mi aula.",No,,,,,,,,,,,,,,,,,"Quizá prácticas de habla en un segundo idioma, corregir textos y usarlo para contextos reales","Fácil acceso
Innovativo
Didactico
","Falta de uso de habilidades de pensamiento
Problemas a nivel cognitivo
Derechos de autor
Fallas tecnicas
","De hecho no me gusta mucho usarlas ya que los estudiantes se vuelven muy dependientes de las mismas, incluso en tareas muy sencillas. La barrera la encuentro en la autonomia de los estudiantes y desafío, el saber cómo funcionan y de qué manera apropiada usarlas en el aula de clase.","Me encantaría recibir desarrollo profesional sobre IA. Estrategias para aplicarla de manera correcta en clase, consejos para permitir la autonomia y creatividad de los estudiantes, riesgos del uso de la misma, consejos para cuidar información persona."
9/16/24 17:34,9/16/24 17:38,IP Address,,100,213,TRUE,9/16/24 17:38,R_1CHQGNFz0MZh684,,,,,,,anonymous,EN,Sí,Colombia,,Sí,"Escuela secundaria,Nivel universitario",Portugués,,43,22 años,Nunca he oído hablar de ello.,,,,,,,,,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,No,,,,,,,,,,,,,,,,,,,Talleres,Sí,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,1 = Para nada,,,,,
9/16/24 16:11,9/16/24 18:09,IP Address,,100,7100,TRUE,9/16/24 18:09,R_5O8EpiGU1VKz8bq,,,,,,,anonymous,EN,Sí,Colombia,,Sí,"Escuela primaria,Nivel universitario",Inglés,,41 años,17 años,He usado GenAI.,"ChatGPT,Gemini",,ChatGPT,,"No, uso la versión gratuita.","Algo accesibles (por ejemplo, puedo acceder a la IA generativa, pero no siempre es fácil)","Computadora,Teléfono celular",,4 - Sí,4 - Sí,3 - Moderadamente,2 - Ligeramente,3 - Moderadamente,4 - Sí,4 - Sí,4 - Sí,Sí,Mensualmente,3 = En alguna medida,4 = En gran medida,5 = Con mucha frecuencia,5 = Con mucha frecuencia,3 = En alguna medida,5 = Con mucha frecuencia,4 = En gran medida,3 = En alguna medida,3 = En alguna medida,2 = En poca medida,3 = En alguna medida,3 = En alguna medida,5 = Con mucha frecuencia,4 = En gran medida,4 = En gran medida,4 = En gran medida,Crear presentaciones sobre ciertos temas,"Colegas,Internet (por ejemplo, Google, YouTube),Experimentación",No,,,,,,,,,,,,,,,,,,,,,
9/17/24 7:37,9/17/24 7:38,IP Address,,100,42,TRUE,9/17/24 7:38,R_6DGVQUM9joT9nIq,,,,,,,anonymous,EN,Sí,Colombia,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/24 7:27,9/17/24 7:41,IP Address,,100,842,TRUE,9/17/24 7:41,R_6YRlCAXOTJJLo1t,,,,,,,anonymous,EN,Sí,Colombia,,Sí,"Escuela media,Escuela secundaria,Nivel universitario",Portugués,,38,8,He usado GenAI.,ChatGPT,,ChatGPT,,"No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)",Computadora,,3 - Moderadamente,3 - Moderadamente,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,Sí,Mensualmente,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,3 = En alguna medida,3 = En alguna medida,1 = Para nada,3 = En alguna medida,1 = Para nada,1 = Para nada,1 = Para nada,,"Talleres,Programa de preparación de profesores,Colegas,Internet (por ejemplo, Google, YouTube),Experimentación",Sí,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,,Ayuda en agilizar las tareas.,Algunas veces un poco difícil.,Algunas personas encontramos dificultades con los idiomas. Por ejemplo traducir alguna frase.,"Si, curso y capacitad."
9/17/24 8:19,9/17/24 8:35,IP Address,,100,943,TRUE,9/17/24 8:35,R_1DYG6DLLRRXlq7Y,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,Inglés,,45,24,He usado GenAI.,"ChatGPT,Gemini",,ChatGPT,,"No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,Teléfono celular",,5 - Mucho,3 - Moderadamente,3 - Moderadamente,3 - Moderadamente,4 - Sí,4 - Sí,4 - Sí,4 - Sí,Sí,Semanalmente,3 = En alguna medida,2 = En poca medida,1 = Para nada,3 = En alguna medida,2 = En poca medida,2 = En poca medida,3 = En alguna medida,2 = En poca medida,2 = En poca medida,1 = Para nada,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,1 = Para nada,2 = En poca medida,3 = En alguna medida,generar imágenes,Experimentación,No,,,,,,,,,,,,,,,,,calificar textos escritos ,"Desarrollar y aplicar escenarios o situaciones cotidianas, laborales y culturales en los que los estudiantes puedan interactuar con la GenAI, con el fin de potenciar las habilidades comunicativas de los estudiantes.",El uso incorrecto que se le podría dar en relación a la construcción de productos que evidencien la apropiación de los contenidos de un curso.,"Como barrera encuentro la falta de conocimiento en la construcción de las instrucciones (prompts) que se le entregan a la herramienta para que genere algún producto, idea, etc.",Si. Pautas para la creación de prompts. 
9/17/24 9:00,9/17/24 9:04,IP Address,,100,233,TRUE,9/17/24 9:04,R_5nIcC6oBhwdGSRk,,,,,,,anonymous,EN,Sí,Colombia,,Sí,"Escuela media,Escuela secundaria,Nivel universitario",Portugués,,69,16,He usado GenAI.,"ChatGPT,Gemini",,Gemini,,"No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,Teléfono celular",,4 - Sí,5 - Mucho,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,Sí,Semanalmente,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,,"Talleres,Colegas,Internet (por ejemplo, Google, YouTube),Experimentación",No,,,,,,,,,,,,,,,,,,,,,
9/17/24 9:52,9/17/24 9:55,IP Address,,100,185,TRUE,9/17/24 9:55,R_6jcUsvm4xcdPvyg,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,Inglés,,49,28 años,Nunca he oído hablar de ello.,,,,,,,,,1 - Para nada,1 - Para nada,1 - Para nada,1 - Para nada,1 - Para nada,1 - Para nada,1 - Para nada,1 - Para nada,No,,,,,,,,,,,,,,,,,,,Talleres,No,,,,,,,,,,,,,,,,,No lo he usado.,No entiendo el concepto.,Capacitación,"Mucha herramienta, poca práctica.",Si. Capacitación en herramientas y uso.
9/17/24 13:57,9/17/24 14:04,IP Address,,100,402,TRUE,9/17/24 14:04,R_7J3H4HHJcH8VZWh,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,Inglés,,48,24 años,He usado GenAI.,"ChatGPT,Gemini",,ChatGPT,,"No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,Teléfono celular",,4 - Sí,4 - Sí,4 - Sí,4 - Sí,3 - Moderadamente,4 - Sí,4 - Sí,5 - Mucho,Sí,Mensualmente,3 = En alguna medida,3 = En alguna medida,2 = En poca medida,4 = En gran medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,4 = En gran medida,2 = En poca medida,3 = En alguna medida,2 = En poca medida,4 = En gran medida,3 = En alguna medida,4 = En gran medida,3 = En alguna medida,,"Talleres,Colegas,Internet (por ejemplo, Google, YouTube),Experimentación",No,,,,,,,,,,,,,,,,,NA,Ahorro de tiempo. Diversidad de modelos.,El estudiante pierde capacidad de análisis. Ralentiza el proceso de aprendizaje porque se copia y pega la información.,"Se trabaja la memoria, pero no el análisis.",Si. Usarlo para crear escape rooms.
9/17/24 14:36,9/17/24 14:46,IP Address,,100,622,TRUE,9/17/24 14:46,R_1CUgUs9k9uqaUVF,,,,,,,anonymous,EN,Sí,Colombia,,Sí,"Escuela primaria,Nivel universitario",Inglés,,47,25,He usado GenAI.,"ChatGPT,Gemini",,ChatGPT,,"No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,Teléfono celular",,3 - Moderadamente,4 - Sí,4 - Sí,5 - Mucho,3 - Moderadamente,3 - Moderadamente,4 - Sí,5 - Mucho,Sí,Semanalmente,3 = En alguna medida,3 = En alguna medida,4 = En gran medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,4 = En gran medida,1 = Para nada,3 = En alguna medida,2 = En poca medida,2 = En poca medida,1 = Para nada,1 = Para nada,5 = Con mucha frecuencia,3 = En alguna medida,,"Talleres,Programa de preparación de profesores,Colegas,Estudiantes/Niños,Internet (por ejemplo, Google, YouTube),Experimentación",No,,,,,,,,,,,,,,,,,La usuaria para todo,"Practica, retroalimentación inmediata.","Que los estudiantes plangian o utilizan AI sin pensar, sin aprender ",La versión gratuita no es tan buena y no puedo pagar la que cuesta.,.
9/17/24 16:47,9/17/24 17:02,IP Address,,100,890,TRUE,9/17/24 17:02,R_3tfXzKBZuF0DXgt,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,Inglés,,41,14 años,He usado GenAI.,"ChatGPT,Gemini,Otro",Twee,ChatGPT,,"No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,iPad o tableta,Teléfono celular",,4 - Sí,4 - Sí,4 - Sí,3 - Moderadamente,4 - Sí,3 - Moderadamente,3 - Moderadamente,3 - Moderadamente,Sí,Semanalmente,2 = En poca medida,3 = En alguna medida,2 = En poca medida,3 = En alguna medida,1 = Para nada,1 = Para nada,3 = En alguna medida,1 = Para nada,1 = Para nada,4 = En gran medida,2 = En poca medida,3 = En alguna medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,1 = Para nada,,"Talleres,Programa de preparación de profesores,Colegas,Internet (por ejemplo, Google, YouTube),Experimentación",Sí,2 = En poca medida,3 = En alguna medida,3 = En alguna medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,3 = En alguna medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,,Menor esfuerzo en la elaboración de actividades. ,"Que las respuestas dadas por la IA no sean correctas. 
La falta de producción original por parte de los estudiantes. ","Uso la versión gratuita y tiene limitaciones de número de mensajes, creación de imágenes, entre otras. ","Sí, diferentes usos de dichas herramientas. "
